DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT,ES,2020,1.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT,ES,2023,2.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT,PT,2020,1.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT,PT,2023,1.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT,SE,2018,1.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT_CUSE,ES,2018,2.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT_CUSE,SE,2018,1.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT_IUSE,ES,2020,2.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT_IUSE,ES,2023,2.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT_IUSE,PT,2020,1.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT_IUSE,PT,2023,1.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT,ES,2018,0.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT,ES,2020,0.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT,ES,2023,1.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT,PT,2020,0.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT,PT,2023,1.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT,SE,2018,0.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT_CUSE,ES,2018,0.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT_CUSE,SE,2018,0.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT_IUSE,ES,2020,0.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT_IUSE,ES,2023,1.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT_IUSE,PT,2020,0.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_25_49,PC_ENT_IUSE,PT,2023,1.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT,ES,2018,0.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT,ES,2020,1.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT,ES,2023,1.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT,PT,2020,2.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT,PT,2023,2.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT,SE,2018,1.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT_CUSE,ES,2018,0.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT_CUSE,SE,2018,1.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT_IUSE,ES,2020,1.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT_IUSE,ES,2023,1.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT_IUSE,PT,2020,2.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_50_74,PC_ENT_IUSE,PT,2023,2.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT,ES,2018,1.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT,ES,2020,2.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT,ES,2023,4.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT,PT,2020,9.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT,PT,2023,11.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT,SE,2018,2.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT_CUSE,ES,2018,1.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT_CUSE,SE,2018,2.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT_IUSE,ES,2020,3.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT_IUSE,ES,2023,4.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT_IUSE,PT,2020,11.1,
